	% of Noise Added	# of PrSMs g0	Accuracy g0	False g0	# of PrSMs g1	Accuracy g1	False g1	# of PrSMs g2	Accuracy g2	False g2	# of PrSMs g3	Accuracy g3	False g3
0	0	212	99.53051643192488	0.0	212	99.53051643192488	0.0	198	100.0	0.0	198	100.0	0.0
1	20	211	99.06103286384976	0.0	210	98.59154929577466	0.0	190	95.95959595959596	0.0	186	93.93939393939394	0.0
2	40	209	98.12206572769952	0.0	208	97.65258215962442	0.5050505050505051	177	89.39393939393939	0.5050505050505051	180	90.9090909090909	0.5050505050505051
3	60	207	97.1830985915493	0.4694835680751174	203	95.30516431924883	1.0101010101010102	172	86.86868686868688	1.0101010101010102	170	85.85858585858585	1.0101010101010102
4	80	199	93.42723004694837	1.8779342723004695	200	93.89671361502347	3.0303030303030303	168	84.84848484848484	3.0303030303030303	163	82.32323232323232	1.5151515151515151
5	100	194	91.07981220657277	2.3474178403755865	198	92.95774647887323	3.535353535353535	161	81.31313131313132	3.535353535353535	154	77.77777777777779	2.0202020202020203
6	120	193	90.61032863849765	2.8169014084507045	195	91.54929577464789	3.535353535353535	153	77.27272727272727	3.535353535353535	146	73.73737373737373	3.535353535353535
7	140	187	87.79342723004694	4.225352112676056	194	91.07981220657277	4.545454545454546	146	73.73737373737373	4.545454545454546	138	69.6969696969697	3.535353535353535
8	160	184	86.3849765258216	6.572769953051644	193	90.61032863849765	9.090909090909092	133	67.17171717171718	9.090909090909092	134	67.67676767676768	4.040404040404041
9	180	183	85.91549295774648	7.042253521126761	187	87.79342723004694	10.606060606060606	127	64.14141414141415	10.606060606060606	132	66.66666666666666	4.545454545454546
10	200	180	84.50704225352112	7.511737089201878	182	85.44600938967136	13.636363636363635	117	59.09090909090909	13.636363636363635	126	63.63636363636363	4.545454545454546
