	x	y	scan1	scan2	boolean_x	boolean_y	combination
0	-7.31069114087638	-7.020451625295905	1730.0	2070.0	True	True	Both identifications are reported
1	-8.665546248849068	-9.266000713461613	2139.0	1754.0	True	True	Both identifications are reported
2	-21.317854923626168	-6.280668713016273	2218.0	8121.0	True	True	Both identifications are reported
3	-20.625251653989896	-6.280668713016273	2229.0	8121.0	True	True	Both identifications are reported
4	-21.171984935776024	-8.943095148663527	2232.0	2124.0	True	True	Both identifications are reported
5	-24.512861624522813	-13.534617148551582	2237.0	3980.0	True	True	Both identifications are reported
6	-24.047691990337874	-8.943095148663527	2253.0	2124.0	True	True	Both identifications are reported
7	-19.946921556516582	-4.835647144215563	2299.0	9402.0	True	True	Both identifications are reported
8	-19.686132779630846	-4.835647144215563	2301.0	9402.0	True	True	Both identifications are reported
9	-28.609064892896622	-4.835647144215563	2306.0	9402.0	True	True	Both identifications are reported
10	-17.518557371497696	-4.835647144215563	2314.0	9402.0	True	True	Both identifications are reported
11	-19.4145392704915	-4.835647144215563	2330.0	9402.0	True	True	Both identifications are reported
12	-9.575118363368933	-11.146910470148134	2345.0	2223.0	True	True	Both identifications are reported
13	-6.482804102050026	-3.5095919984939887	2348.0	4436.0	True	True	Both identifications are reported
14	-7.931814138253839	-4.853871964321762	2363.0	4176.0	True	True	Both identifications are reported
15	-6.006123085058789	-3.5095919984939887	2390.0	4436.0	True	True	Both identifications are reported
16	-19.193141970481182	-4.835647144215563	2398.0	9402.0	True	True	Both identifications are reported
17	-30.127843727251708	-4.835647144215563	2425.0	9402.0	True	True	Both identifications are reported
18	-30.05551732784983	-4.835647144215563	2432.0	9402.0	True	True	Both identifications are reported
19	-10.52432881167557	-5.094743951251549	2462.0	2573.0	True	True	Both identifications are reported
20	-14.202040356262804	-4.835647144215563	2488.0	9402.0	True	True	Both identifications are reported
21	-22.563837352959244	-4.835647144215563	2530.0	9402.0	True	True	Both identifications are reported
22	-20.838631997765024	-4.835647144215563	2537.0	9402.0	True	True	Both identifications are reported
23	-4.106238237942057	-4.835647144215563	2555.0	9402.0	True	True	Both identifications are reported
24	-5.0	-4.935542010773082	2580.0	1893.0	True	True	Both identifications are reported
25	-7.536107011014093	-4.835647144215563	2593.0	9402.0	True	True	Both identifications are reported
26	-10.935542010773082	-4.835647144215563	2600.0	9402.0	True	True	Both identifications are reported
27	-10.58335949266172	-4.835647144215563	2605.0	9402.0	True	True	Both identifications are reported
28	-19.298432014944073	-4.835647144215563	2611.0	9402.0	True	True	Both identifications are reported
29	-14.54515513999149	-4.835647144215563	2628.0	9402.0	True	True	Both identifications are reported
30	-14.306273051076353	-4.835647144215563	2635.0	9402.0	True	True	Both identifications are reported
31	-9.139063379299905	-4.835647144215563	2684.0	9402.0	True	True	Both identifications are reported
32	-14.886056647693163	-4.835647144215563	2733.0	9402.0	True	True	Both identifications are reported
33	-15.22548303427145	-4.835647144215563	2740.0	9402.0	True	True	Both identifications are reported
34	-9.882728704344236	-4.835647144215563	2794.0	9402.0	True	True	Both identifications are reported
35	-8.882728704344236	-2.1853819487243666	2804.0	8023.0	True	True	Both identifications are reported
36	-9.570247719997592	-4.7594507517174005	2871.0	1988.0	True	True	Both identifications are reported
37	-2.746674112434519	-3.1813532163598706	3379.0	1924.0	True	True	Both identifications are reported
38	-13.298432014944073	-3.1813532163598706	3774.0	1924.0	True	True	Both identifications are reported
39	-17.507239610973162	-3.1813532163598706	3788.0	1924.0	True	True	Both identifications are reported
40	-13.2580609222708	-3.075694657050903	3839.0	5076.0	True	False	Only one identification is reported
41	-14.480172006224281	-3.075694657050903	3850.0	5076.0	True	False	Only one identification is reported
42	-14.411168274405792	-14.199282921717614	3854.0	5653.0	True	True	Both identifications are reported
43	-15.493494967595128	-3.1813532163598706	3855.0	1924.0	True	True	Both identifications are reported
44	-12.835647144215564	-3.075694657050903	3875.0	5076.0	True	True	Both identifications are reported
45	-12.092588639225413	-3.075694657050903	3878.0	5076.0	True	False	Only one identification is reported
46	-7.27083521030723	-4.935542010773082	3924.0	1893.0	True	True	Both identifications are reported
47	-15.950781977329818	-14.199282921717614	3944.0	5653.0	True	True	Both identifications are reported
